"name" "size" "coverage" "circular" "gc_content" "hit_to_vir_refseq" "hit_to_crasslike" "demovir" "vir_refseq" "crasslike" "ribo_prot_count" "pvogs_count" "integrase" "vcontact_cluster" "sample" "country" "crispr_host" "sample_cluster"
"ERR1474570_NODE_1_length_248887_cov_42.8052" "ERR1474570_NODE_1_length_248887_cov_42.8052" 248887 42.8052 TRUE 36.83 FALSE FALSE "Myoviridae" NA NA 0 50 TRUE "c93" "ERR1474570" "Philippines" "Streptococcus" "2"
"ERR589384_NODE_4_length_264993_cov_11.6431" "ERR589384_NODE_4_length_264993_cov_11.6431" 264993 11.6431 TRUE 49.84 FALSE FALSE "Unassigned" NA NA 0 41 FALSE "c38" "ERR589384" "China" NA "1"
"ERR589436_NODE_2_length_282553_cov_22.9348" "ERR589436_NODE_2_length_282553_cov_22.9348" 282553 22.9348 FALSE 53.33 FALSE FALSE "Siphoviridae" NA NA 0 33 FALSE "c38" "ERR589436" "China" NA "1"
"ERR589488_NODE_6_length_259556_cov_52.1781" "ERR589488_NODE_6_length_259556_cov_52.1781" 259556 52.1781 FALSE 49.61 FALSE FALSE "Unassigned" NA NA 0 40 FALSE "c38" "ERR589488" "China" NA "2"
"ERR589493_NODE_2_length_304584_cov_7.42619" "ERR589493_NODE_2_length_304584_cov_7.42619" 304584 7.42619 FALSE 52.47 FALSE FALSE "Siphoviridae" NA NA 0 41 FALSE "c38" "ERR589493" "China" NA "1"
"ERR589608_NODE_7_length_360669_cov_11.7565" "ERR589608_NODE_7_length_360669_cov_11.7565" 360669 11.7565 TRUE 52.41 FALSE FALSE "Siphoviridae" NA NA 0 44 TRUE "c38" "ERR589608" "China" NA "4"
"ERR589617_NODE_1_length_358538_cov_24.302" "ERR589617_NODE_1_length_358538_cov_24.302" 358538 24.302 TRUE 49.61 FALSE FALSE "Siphoviridae" NA NA 0 48 TRUE "c38" "ERR589617" "China" NA "4"
"ERR589618_NODE_4_length_306957_cov_10.7714" "ERR589618_NODE_4_length_306957_cov_10.7714" 306957 10.7714 FALSE 52.59 FALSE FALSE "Siphoviridae" NA NA 0 39 TRUE "c38" "ERR589618" "China" NA "4"
"ERR589628_NODE_2_length_358035_cov_7.29377" "ERR589628_NODE_2_length_358035_cov_7.29377" 358035 7.29377 TRUE 49.63 FALSE FALSE "Siphoviridae" NA NA 0 44 TRUE "c38" "ERR589628" "China" NA "4"
"ERR589685_NODE_5_length_255857_cov_8.75687" "ERR589685_NODE_5_length_255857_cov_8.75687" 255857 8.75687 FALSE 49.94 FALSE FALSE "Myoviridae" NA NA 0 40 FALSE "c38" "ERR589685" "China" NA "1"
"SRS011115_NODE_5_length_302809_cov_8.25506" "SRS011115_NODE_5_length_302809_cov_8.25506" 302809 8.25506 FALSE 49.85 FALSE FALSE "Siphoviridae" NA NA 0 46 FALSE "c38" "SRS011115" "US" NA "2"
"SRS014124_NODE_3_length_342872_cov_267.456" "SRS014124_NODE_3_length_342872_cov_267.456" 342872 267.456 TRUE 49.58 FALSE FALSE "Unassigned" NA NA 0 45 TRUE "c38" "SRS014124" "US" NA "2"
"SRS015278_NODE_6_length_320972_cov_7.71736" "SRS015278_NODE_6_length_320972_cov_7.71736" 320972 7.71736 FALSE 48.63 FALSE FALSE "Siphoviridae" NA NA 0 69 TRUE "c531" "SRS015278" "US" "Rothia" "5"
"SRS016002_NODE_9_length_233140_cov_36.0401" "SRS016002_NODE_9_length_233140_cov_36.0401" 233140 36.0401 FALSE 50.45 FALSE FALSE "Siphoviridae" NA NA 0 35 FALSE "c38" "SRS016002" "US" NA "2"
"SRS022530_NODE_14_length_232394_cov_22.9741" "SRS022530_NODE_14_length_232394_cov_22.9741" 232394 22.9741 FALSE 50.06 FALSE FALSE "Siphoviridae" NA NA 0 37 FALSE "c38" "SRS022530" "US" NA "2"
"SRS022602_NODE_3_length_241777_cov_6.06737" "SRS022602_NODE_3_length_241777_cov_6.06737" 241777 6.06737 FALSE 48.49 FALSE FALSE "Unassigned" NA NA 0 37 TRUE "c531" "SRS022602" "US" NA NA
"SRS023617_NODE_9_length_257775_cov_8.88561" "SRS023617_NODE_9_length_257775_cov_8.88561" 257775 8.88561 FALSE 53.37 FALSE FALSE "Siphoviridae" NA NA 0 33 FALSE "c38" "SRS023617" "US" NA "2"
"SRS024637_NODE_2_length_269235_cov_9.49837" "SRS024637_NODE_2_length_269235_cov_9.49837" 269235 9.49837 FALSE 49.98 FALSE FALSE "Myoviridae" NA NA 0 41 FALSE "c38" "SRS024637" "US" NA NA
"SRS042910_NODE_5_length_267639_cov_42.6806" "SRS042910_NODE_5_length_267639_cov_42.6806" 267639 42.6806 TRUE 53.39 FALSE FALSE "Siphoviridae" NA NA 0 29 FALSE "c38" "SRS042910" "US" NA NA
"SRS015158_NODE_2_length_535604_cov_20.4027" "SRS015158_NODE_2_length_535604_cov_20.4027" 535604 20.4027 FALSE 47.38 FALSE FALSE "Myoviridae" NA NA 0 84 TRUE "c18" "SRS015158" "US" "Actinomyces" "5"
"SRS017139_NODE_3_length_320776_cov_22.2146" "SRS017139_NODE_3_length_320776_cov_22.2146" 320776 22.2146 TRUE 51.26 FALSE FALSE "Siphoviridae" NA NA 1 59 FALSE "c1531" "SRS017139" "US" NA "5"
"SRS022536_NODE_5_length_391472_cov_27.173" "SRS022536_NODE_5_length_391472_cov_27.173" 391472 27.173 FALSE 47.46 FALSE FALSE "Myoviridae" NA NA 0 78 FALSE "c18" "SRS022536" "US" "Actinomyces" "5"
"SRS024355_NODE_2_length_320741_cov_15.8487" "SRS024355_NODE_2_length_320741_cov_15.8487" 320741 15.8487 FALSE 51.26 FALSE FALSE "Siphoviridae" NA NA 1 59 FALSE "c1531" "SRS024355" "US" NA NA
"SRS063272_NODE_2_length_213128_cov_10.6379" "SRS063272_NODE_2_length_213128_cov_10.6379" 213128 10.6379 FALSE 26.41 FALSE FALSE "Myoviridae" NA NA 0 42 TRUE "c37" "SRS063272" "US" NA "3"
"SRS149647_NODE_17_length_210750_cov_52.7388" "SRS149647_NODE_17_length_210750_cov_52.7388" 210750 52.7388 FALSE 51.42 FALSE FALSE "Siphoviridae" NA NA 0 35 FALSE "c1531" "SRS149647" "US" NA NA
"ERR589420_NODE_4_length_264775_cov_29.7774" "ERR589420_NODE_4_length_264775_cov_29.7774" 264775 29.7774 TRUE 60.34 FALSE FALSE "Siphoviridae" NA NA 1 53 FALSE "c85" "ERR589420" "China" "Atopobium" "4"
"SRS011115_NODE_11_length_255587_cov_15.4269" "SRS011115_NODE_11_length_255587_cov_15.4269" 255587 15.4269 TRUE 59.46 FALSE FALSE "Siphoviridae" NA NA 1 48 FALSE "c85" "SRS011115" "US" "Atopobium" "2"
"ERR589762_NODE_15_length_224991_cov_14.4081" "ERR589762_NODE_15_length_224991_cov_14.4081" 224991 14.4081 TRUE 45.33 FALSE FALSE "Myoviridae" NA NA 0 147 FALSE "c2045" "ERR589762" "China" NA "6"
"ERR589769_NODE_37_length_220777_cov_12.0692" "ERR589769_NODE_37_length_220777_cov_12.0692" 220777 12.0692 FALSE 45.49 FALSE FALSE "Myoviridae" NA NA 0 148 FALSE "c2045" "ERR589769" "China" NA "6"
"SRS013252_NODE_7_length_269911_cov_143.484" "SRS013252_NODE_7_length_269911_cov_143.484" 269911 143.484 TRUE 41.29 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c275" "SRS013252" "US" NA "5"
"SRS016039_NODE_1_length_283077_cov_21.1777" "SRS016039_NODE_1_length_283077_cov_21.1777" 283077 21.1777 TRUE 38.77 FALSE FALSE "Myoviridae" NA NA 0 101 FALSE "c387" "SRS016039" "US" NA "3"
"SRS016331_NODE_4_length_271840_cov_24.0229" "SRS016331_NODE_4_length_271840_cov_24.0229" 271840 24.0229 FALSE 41.31 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "c275" "SRS016331" "US" NA "5"
"SRS016746_NODE_14_length_202265_cov_84.1778" "SRS016746_NODE_14_length_202265_cov_84.1778" 202265 84.1778 FALSE 39.2 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c390" "SRS016746" "US" NA "5"
"SRS018157_NODE_7_length_269576_cov_21.4215" "SRS018157_NODE_7_length_269576_cov_21.4215" 269576 21.4215 FALSE 41.3 FALSE FALSE "Myoviridae" NA NA 0 84 FALSE "c275" "SRS018157" "US" NA "5"
"SRS023358_NODE_1_length_276734_cov_13.5505" "SRS023358_NODE_1_length_276734_cov_13.5505" 276734 13.5505 FALSE 33.68 FALSE FALSE "Myoviridae" NA NA 0 106 FALSE "c387" "SRS023358" "US" NA "5"
"SRS043018_NODE_3_length_201704_cov_10.7451" "SRS043018_NODE_3_length_201704_cov_10.7451" 201704 10.7451 FALSE 39.24 FALSE FALSE "Myoviridae" NA NA 0 86 FALSE "c390" "SRS043018" "US" NA NA
"SRS047590_NODE_5_length_276833_cov_10.4231" "SRS047590_NODE_5_length_276833_cov_10.4231" 276833 10.4231 FALSE 35.9 FALSE FALSE "Myoviridae" NA NA 0 93 FALSE "c275" "SRS047590" "US" NA NA
"SRS048719_NODE_1_length_279258_cov_17.5972" "SRS048719_NODE_1_length_279258_cov_17.5972" 279258 17.5972 FALSE 38.73 FALSE FALSE "Myoviridae" NA NA 0 107 FALSE "c387" "SRS048719" "US" NA "3"
"SRS075353_NODE_13_length_202533_cov_29.7284" "SRS075353_NODE_13_length_202533_cov_29.7284" 202533 29.7284 FALSE 39.2 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "c390" "SRS075353" "US" NA NA
"SRS078677_NODE_7_length_263796_cov_15.3008" "SRS078677_NODE_7_length_263796_cov_15.3008" 263796 15.3008 TRUE 41.35 FALSE FALSE "Myoviridae" NA NA 0 87 FALSE "c275" "SRS078677" "US" NA NA
"SRS105100_NODE_14_length_202315_cov_9.26293" "SRS105100_NODE_14_length_202315_cov_9.26293" 202315 9.26293 FALSE 39.16 FALSE FALSE "Myoviridae" NA NA 0 85 FALSE "c390" "SRS105100" "US" NA "5"
"SRS105100_NODE_9_length_273110_cov_7.31174" "SRS105100_NODE_9_length_273110_cov_7.31174" 273110 7.31174 FALSE 33.71 FALSE FALSE "Myoviridae" NA NA 0 106 FALSE "c387" "SRS105100" "US" NA "5"
"SRS142483_NODE_8_length_267299_cov_53.3807" "SRS142483_NODE_8_length_267299_cov_53.3807" 267299 53.3807 TRUE 41.27 FALSE FALSE "Myoviridae" NA NA 0 83 FALSE "c275" "SRS142483" "US" NA NA
"ERR589420_NODE_8_length_216052_cov_5.36304" "ERR589420_NODE_8_length_216052_cov_5.36304" 216052 5.36304 TRUE 44.77 FALSE FALSE "Myoviridae" NA NA 0 27 FALSE "c1030" "ERR589420" "China" NA "4"
"ERR589432_NODE_10_length_251891_cov_16.4102" "ERR589432_NODE_10_length_251891_cov_16.4102" 251891 16.4102 TRUE 38.75 FALSE FALSE "Unassigned" NA NA 0 49 FALSE "c33" "ERR589432" "China" NA "1"
"ERR589617_NODE_3_length_322522_cov_34.3446" "ERR589617_NODE_3_length_322522_cov_34.3446" 322522 34.3446 TRUE 42.29 FALSE FALSE "Myoviridae" NA NA 0 66 FALSE "c33" "ERR589617" "China" "Streptococcus" "4"
