name	size	circular	host	location	environment	country.or.region	study	environment_cols	host_cols	study_cols	vcontact_cluster	cluster_cols
A4_PHAGE_COMPLETE_CIR-CU-CL_34_1_1	356281	circular	Bacteroidetes	Bangladeshi adult fecal samples	Adult fecal samples	Bangladesh	Devoto et al.	#FCA636FF	#FFFFB3	#377EB8	A4_PHAGE_COMPLETE_CIR-CU-CL_34_1	NA
ERM_PHAGE_CIR_34_117_1	305387	circular	Bacteroidetes	Cyanobacterial mats, Eel River, CA	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	ERM_PHAGE_CIR_34_117	NA
R2_PHAGE_CIR_50_38_1	259229	circular	Proteobacteria	Neonatal Intensive Care Unit, Pittsburgh	Intensive Care Unit	USA	Al-Shayeb et al.	#FC8D62	#8DD3C7	#E41A1C	R2_PHAGE_CIR_50_38	NA
FFC_PHAGE_43_1208_1	220400	linear	Proteobacteria	Mine tailings Impoundment-2, Manitoba, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	FFC_PHAGE_43_1208	NA
LP_PHAGE_46_12_1	210462	linear	Proteobacteria	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	LP_PHAGE_46_12	NA
TARA_PHAGE_44_1_1	310536	linear	Proteobacteria	Mesopelagic zone - North Pacific Ocean	Outside environment	North Pacific Ocean	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	TARA_PHAGE_44_1	NA
SR-VP_PHAGE_50_14_1	275744	linear	Proteobacteria	Vernal pool mud, Lake County, California	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	SR-VP_PHAGE_50_14	NA
R2_PHAGE_CIR_48_113_1	267210	circular	Proteobacteria	Neonatal Intensive Care Unit, Pittsburgh	Intensive Care Unit	USA	Al-Shayeb et al.	#FC8D62	#8DD3C7	#E41A1C	R2_PHAGE_CIR_48_113	NA
LP_PHAGE_40_9_1	226594	linear	Bacteroidetes	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	LP_PHAGE_40_9	NA
PIG_PHAGE_CU_31_44_1	225229	linear	Firmicutes	Pig fecal material, Denmark	Pig fecal samples	Denmark	Devoto et al.	#E78AC3	#BEBADA	#377EB8	PIG_PHAGE_CU_31_44	NA
BML_PHAGE_48_21_1	281088	linear	Proteobacteria	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	BML_PHAGE_48_21	NA
PIG_PHAGE_COMPLETE_CIR-CU-CL_31_57_1	227103	circular	Firmicutes	Pig fecal material, Denmark	Pig fecal samples	Denmark	Devoto et al.	#E78AC3	#BEBADA	#377EB8	PIG_PHAGE_COMPLETE_CIR-CU-CL_31_57	NA
RTP_PHAGE_33_21_1	338752	linear	Bacteroidetes	Mine tailings impoundment, Newfoundland, Canada 	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	RTP_PHAGE_33_21	NA
RTP_PHAGE_33_21_2	338752	linear	Bacteroidetes	Mine tailings impoundment, Newfoundland, Canada 	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	RTP_PHAGE_33_21	NA
RIF_PHAGE_CIR_29_13_1	206411	circular	Microgenomates	Groundwater, Rifle, Colorado	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#FB8072	#E41A1C	RIF_PHAGE_CIR_29_13	NA
F31_PHAGE_CIR_26_47_1	343860	circular	Firmicutes	Baboon fecal samples, Kenya	Baboon fecal samples	Kenya	Devoto et al.	#8DA0CB	#BEBADA	#377EB8	F31_PHAGE_CIR_26_47	NA
PIG_PHAGE_CU_27_27_1	240683	linear	Firmicutes	Pig fecal material, Denmark	Pig fecal samples	Denmark	Devoto et al.	#E78AC3	#BEBADA	#377EB8	PIG_PHAGE_CU_27_27	NA
SHALE-W_PHAGE_25_0_1	299394	linear	Bacteroidetes	Hydraulically Fractured Shale, West Virginia, USA	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	SHALE-W_PHAGE_25_0	NA
BML_PHAGE_29_17_1	394886	linear	Bacteroidetes	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	BML_PHAGE_29_17	NA
BML_PHAGE_CIR_42_5_1	328581	circular	Proteobacteria	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	BML_PHAGE_CIR_42_5	NA
SCN_PHAGE_41_19_1	338022	linear	Proteobacteria	Thiocyanate bioreactor, South Africa	Biotechnology	South Africa	Al-Shayeb et al.	#A6D854	#8DD3C7	#E41A1C	SCN_PHAGE_41_19	NA
SCN_PHAGE_41_19_2	338022	linear	Proteobacteria	Thiocyanate bioreactor, South Africa	Biotechnology	South Africa	Al-Shayeb et al.	#A6D854	#8DD3C7	#E41A1C	SCN_PHAGE_41_19	NA
BML_PHAGE_COMPLETE_CIR-CU-CL_30_21_1	331854	circular	Bacteroidetes	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	BML_PHAGE_COMPLETE_CIR-CU-CL_30_21	NA
R2_PHAGE_CIR_46_32_1	469944	circular	Proteobacteria	Neonatal Intensive Care Unit, Pittsburgh	Intensive Care Unit	USA	Al-Shayeb et al.	#FC8D62	#8DD3C7	#E41A1C	R2_PHAGE_CIR_46_32	NA
FFC_PHAGE_44_113_1	271315	linear	Proteobacteria	Mine tailings Impoundment-2, Manitoba, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	FFC_PHAGE_44_113	NA
LP_PHAGE_38_12_1	339376	linear	Proteobacteria	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	LP_PHAGE_38_12	NA
PIG_PHAGE_CU_27_28_1	267703	linear	Firmicutes	Pig fecal material, Denmark	Pig fecal samples	Denmark	Devoto et al.	#E78AC3	#BEBADA	#377EB8	PIG_PHAGE_CU_27_28	NA
A3_PHAGE_COMPLETE_CIR-CU-CL_34_1_1	352502	circular	Bacteroidetes	Bangladeshi adult fecal samples	Adult fecal samples	Bangladesh	Devoto et al.	#FCA636FF	#FFFFB3	#377EB8	A3_PHAGE_COMPLETE_CIR-CU-CL_34_1	NA
OS_PHAGE_40_40_1	347087	linear	Proteobacteria	Oil Seep, Santa Barbara	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	OS_PHAGE_40_40	NA
LP_PHAGE_38_17_1	399135	linear	Proteobacteria	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	LP_PHAGE_38_17	NA
ALT_PHAGE_40_9_1	209089	linear	Bacteroidetes	Mine tailings impoundment –1, Manitoba Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	ALT_PHAGE_40_9	NA
SCN_PHAGE_32_18_1	239032	linear	Proteobacteria	Thiocyanate bioreactor, South Africa	Biotechnology	South Africa	Al-Shayeb et al.	#A6D854	#8DD3C7	#E41A1C	SCN_PHAGE_32_18	NA
GM_PHAGE_38_38_1	343399	linear	Proteobacteria	Giant Mine, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	GM_PHAGE_38_38	NA
LP_PHAGE_31_18_1	237691	linear	Bacteroidetes	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	LP_PHAGE_31_18	NA
S9_PHAGE_34_1_1	293356	linear	Bacteroidetes	Bangladeshi adult fecal samples	Adult fecal samples	Bangladesh	Al-Shayeb et al.	#FCA636FF	#FFFFB3	#E41A1C	S9_PHAGE_34_1	NA
GWC1_PHAGE_CIR_34_18_1	210922	circular	Microgenomates	Groundwater, Rifle, Colorado	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#FB8072	#E41A1C	GWC1_PHAGE_CIR_34_18	NA
FFC_PHAGE_CIR_42_59_1	203881	circular	Proteobacteria	Mine tailings Impoundment-2, Manitoba, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	FFC_PHAGE_CIR_42_59	NA
BML_PHAGE_34_18_1	331044	linear	Bacteroidetes	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	BML_PHAGE_34_18	NA
BML_PHAGE_34_18_2	331044	linear	Bacteroidetes	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	BML_PHAGE_34_18	NA
SR-VP_PHAGE_COMPLETE_CIR-CU-CL_42_23_1	595163	circular	Proteobacteria	Vernal pool mud, Lake County, California	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	SR-VP_PHAGE_COMPLETE_CIR-CU-CL_42_23	NA
SW-7_PHAGE_46_16_1	322447	linear	Proteobacteria	Atacama salt , Chile	Outside environment	Chile	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	SW-7_PHAGE_46_16	NA
LP_PHAGE_30_17_1	301052	linear	Bacteroidetes	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	LP_PHAGE_30_17	NA
FFSP_PHAGE_34_11_1	262413	linear	Proteobacteria	Mine tailings Impoundment-2, Manitoba, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	FFSP_PHAGE_34_11	NA
R2_PHAGE_CIR_43_124_1	316706	circular	Proteobacteria	Neonatal Intensive Care Unit, Pittsburgh	Intensive Care Unit	USA	Al-Shayeb et al.	#FC8D62	#8DD3C7	#E41A1C	R2_PHAGE_CIR_43_124	NA
SHALE-W_PHAGE_CIR_53_0_1	231862	circular	Proteobacteria	Hydraulically Fractured Shale, Pennsylvania, USA	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	SHALE-W_PHAGE_CIR_53_0	NA
ALT_PHAGE_24_16_1	274127	linear	Bacteroidetes	Mine tailings impoundment –1, Manitoba Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	ALT_PHAGE_24_16	NA
BML_PHAGE_CIR_40_15_B_1	222739	circular	Proteobacteria	Pit Lake, Alberta, Canada	Outside environment	Canada	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	BML_PHAGE_CIR_40_15_B	NA
RIF_PHAGE_CU_29_17_1	503412	linear	Bacteroidetes	Sediment, Rifle, Colorado	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#FFFFB3	#E41A1C	RIF_PHAGE_CU_29_17	NA
ER_PHAGE_49_14_1	298824	linear	Proteobacteria	Sub-soil (saprolite), East River, Colorado	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	ER_PHAGE_49_14	NA
SR-VP_PHAGE_48_23_A_1	354149	linear	Proteobacteria	Vernal pool mud, Lake County, California	Outside environment	USA	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	SR-VP_PHAGE_48_23_A	NA
LP_PHAGE_CIR_34_34_1	286030	circular	Proteobacteria	Lac Pavin, France	Outside environment	France	Al-Shayeb et al.	#66C2A5	#8DD3C7	#E41A1C	LP_PHAGE_CIR_34_34	NA
NC_028999.1_1	309208	circular	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_028999.1	NA
NC_019526.1_1	345809	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_019526.1	NA
NC_023568.1_1	246964	linear	Proteobacteria	ocean, China	Outside environment	China	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_023568.1	NA
NC_031245.1_1	221908	linear	Firmicutes	soil sample, USA	Outside environment	USA	RefSeq	#66C2A5	#BEBADA	#4DAF4A	NC_031245.1	NA
NC_042116.1_1	354378	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_042116.1	NA
NC_041884.1_1	234900	linear	Proteobacteria	wastewater influent, Ireland: Co. Cork	Outside environment	Ireland	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_041884.1	NA
NC_019929.1_1	243050	circular	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_019929.1	NA
NC_023557.1_1	271084	linear	Proteobacteria	soil adjacent to infected tree, Canada	Outside environment	Canada	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_023557.1	NA
NC_005260.1_1	233234	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_005260.1	NA
NC_028829.1_1	248088	linear	Proteobacteria	marine sediment, Malaysia	Outside environment	Malaysia	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_028829.1	NA
NC_019406.1_1	279967	linear	Proteobacteria	surface water, USA: College Station, TX	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_019406.1	NA
NC_010821.1_1	316674	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_010821.1	NA
NC_005083.2_1	244834	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_005083.2	NA
NC_020851.1_1	208007	linear	Cyanobacteria	NA	NA	NA	RefSeq	#FFFFFF	#80B1D3	#4DAF4A	NC_020851.1	NA
NC_041994.1_1	278136	circular	Proteobacteria	compost, New Zealand	Outside environment	New Zealand	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_041994.1	NA
NC_019411.1_1	219216	linear	Proteobacteria	surface water, USA: College Station, TX	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_019411.1	NA
NC_019410.1_1	221828	linear	Proteobacteria	surface water, USA: TX	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_019410.1	NA
NC_019408.1_1	223720	linear	Proteobacteria	surface water, USA: College Station, TX	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_019408.1	NA
NC_019405.1_1	215710	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_019405.1	NA
NC_042013.1_1	490380	circular	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_042013.1	NA
NC_031927.1_1	216121	linear	Cyanobacteria	NA	NA	NA	RefSeq	#FFFFFF	#80B1D3	#4DAF4A	NC_031927.1	NA
NC_027364.1_1	348113	linear	Proteobacteria	river, South Korea	Outside environment	South Korea	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_027364.1	NA
NC_021531.1_1	223989	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_021531.1	NA
NC_042056.1_1	241654	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_042056.1	NA
NC_042098.1_1	272458	linear	Proteobacteria	soil, USA	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_042098.1	NA
NC_041974.1_1	271088	linear	Proteobacteria	bark, USA	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_041974.1	NA
NC_041973.1_1	271182	linear	Proteobacteria	leaves and stem, USA	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_041973.1	NA
NC_041972.1_1	273501	linear	Proteobacteria	branches and blossoms, USA	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_041972.1	NA
NC_027402.1_1	240413	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_027402.1	NA
NC_016571.1_1	284757	circular	Proteobacteria	compost sample, Russia: Tver District	Outside environment	Russia	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_016571.1	NA
NC_031010.1_1	246390	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_031010.1	NA
NC_031007.1_1	223935	linear	Proteobacteria	apple orchard sample, USA	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_031007.1	NA
NC_031107.2_1	246290	linear	Proteobacteria	branches and blossoms, USA	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_031107.2	NA
NC_031120.1_1	241147	linear	Proteobacteria	branches and blossoms, USA	Outside environment	USA	RefSeq	#66C2A5	#8DD3C7	#4DAF4A	NC_031120.1	NA
NC_031043.1_1	229501	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_031043.1	NA
NC_031126.1_1	244840	linear	Proteobacteria	NA	NA	NA	RefSeq	#FFFFFF	#8DD3C7	#4DAF4A	NC_031126.1	NA
NC_043027.1_1	252197	linear	Firmicutes	NA	NA	NA	RefSeq	#FFFFFF	#BEBADA	#4DAF4A	NC_043027.1	NA
Ga0247723_1000001_88	240045	linear	NA	Subsurface sediment microbial communities from gas well in West Virginia, United States	Outside environment	USA	IMG/VR	#66C2A5	#FFFFFF	#984EA3	Ga0247723_1000001	NA
Ga0257110_1000001_93	372493	linear	NA	Marine microbial communities from Northeast Subartic Pacific Ocean, Canada	Outside environment	Canada	IMG/VR	#66C2A5	#FFFFFF	#984EA3	Ga0257110_1000001	NA
SRS022530_LANL_scaffold_32610_168	231357	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS022530_LANL_scaffold_32610	NA
SRS022530_LANL_scaffold_51249_70	242454	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS022530_LANL_scaffold_51249	NA
SRS022536_LANL_scaffold_58447_94	232914	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	IMG/VR	#6A00A8FF	#FFFFFF	#984EA3	SRS022536_LANL_scaffold_58447	NA
SRS022602_Baylor_scaffold_95585_250	268303	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	IMG/VR	#6A00A8FF	#FFFFFF	#984EA3	SRS022602_Baylor_scaffold_95585	NA
SRS022083_Baylor_scaffold_19610_94	256873	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	IMG/VR	#6A00A8FF	#FFFFFF	#984EA3	SRS022083_Baylor_scaffold_19610	NA
SRS057791_LANL_scaffold_921_215	234123	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS057791_LANL_scaffold_921	NA
SRS063193_LANL_scaffold_29753_21	226962	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS063193_LANL_scaffold_29753	NA
SRS051791_LANL_scaffold_23448_98	239330	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS051791_LANL_scaffold_23448	NA
SRS015440_WUGC_scaffold_42298_198	228397	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	IMG/VR	#6A00A8FF	#FFFFFF	#984EA3	SRS015440_WUGC_scaffold_42298	NA
SRS053603_LANL_scaffold_3079_60	220217	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS053603_LANL_scaffold_3079	NA
SRS016039_WUGC_scaffold_7258_66	278729	linear	NA	Adult buccal mucosa, USA	Adult buccal mucosa	USA	IMG/VR	#0D0887FF	#FFFFFF	#984EA3	SRS016039_WUGC_scaffold_7258	NA
SRS016225_WUGC_scaffold_2185_126	238862	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS016225_WUGC_scaffold_2185	NA
SRS016225_WUGC_scaffold_2185_127	238862	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS016225_WUGC_scaffold_2185	NA
SRS016746_Baylor_scaffold_37475_66	202213	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	IMG/VR	#6A00A8FF	#FFFFFF	#984EA3	SRS016746_Baylor_scaffold_37475	NA
SRS022149_LANL_scaffold_20404_32	236788	linear	NA	Adult dental plaque, USA	Adult dental plaque	USA	IMG/VR	#6A00A8FF	#FFFFFF	#984EA3	SRS022149_LANL_scaffold_20404	NA
SRS044662_LANL_scaffold_46740_149	207068	linear	NA	Adult dorsum of tongue, USA	Adult dorsum of tongue	USA	IMG/VR	#B12A90FF	#FFFFFF	#984EA3	SRS044662_LANL_scaffold_46740	NA
ERR589366_NODE_2_length_252267_cov_5.86855_154	252267	linear	NA	Adult dental plaque, China	Adult dental plaque	China	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_6	#BFE6BE
ERR589374_NODE_1_length_250771_cov_7.48575_207	250771	circular	NA	Adult dental plaque, China	Adult dental plaque	China	This study	#6A00A8FF	#FFFFFF	rgb(255, 220, 0)	ERR589374_NODE_1_length_250771_cov_7.48575	NA
ERR589390_NODE_5_length_254595_cov_11.1926_161	254595	circular	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
ERR589400_NODE_2_length_222094_cov_17.9067_63	222094	linear	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
ERR589418_NODE_2_length_253972_cov_14.627_157	253972	linear	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_0	#8DD3C7
ERR589418_NODE_3_length_253054_cov_15.5374_159	253054	linear	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_1419_6	#BFE6BE
ERR589420_NODE_6_length_229992_cov_13.7426_182	229992	circular	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	ERR589420_NODE_6_length_229992_cov_13.7426	NA
ERR589420_NODE_11_length_203503_cov_92.1356_162	203503	circular	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_240_3	#BEDB7C
ERR589420_NODE_11_length_203503_cov_92.1356_164	203503	circular	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_240_3	#BEDB7C
ERR589420_NODE_12_length_203291_cov_5.79902_163	203291	linear	Firmicutes	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#BEBADA	rgb(255, 220, 0)	ERR589420_NODE_12_length_203291_cov_5.79902	NA
ERR589426_NODE_11_length_235074_cov_32.5489_214	235074	circular	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_3541_1	#EBD2DF
ERR589432_NODE_16_length_215843_cov_9.61145_74	215843	linear	NA	Adult saliva, China	Adult saliva	China	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
ERR589796_NODE_1_length_512029_cov_8.91079_144	512029	linear	NA	Adult fecal samples, China	Adult fecal samples	China	This study	#FCA636FF	#FFFFFF	rgb(255, 220, 0)	ERR589796_NODE_1_length_512029_cov_8.91079	NA
ERR589826_NODE_12_length_228591_cov_8.75589_239	228591	linear	NA	Adult fecal samples, China	Adult fecal samples	China	This study	#FCA636FF	#FFFFFF	rgb(255, 220, 0)	ERR589826_NODE_12_length_228591_cov_8.75589	NA
ERR1474568_NODE_4_length_227053_cov_6.57548_96	227053	linear	NA	Adult saliva, Philippines	Adult saliva	Philippines	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_2385_1	#B2B2A5
ERR1474568_NODE_6_length_201530_cov_57.6677_231	201530	linear	NA	Adult saliva, Philippines	Adult saliva	Philippines	This study	#E16462FF	#FFFFFF	rgb(255, 220, 0)	VC_240_3	#BEDB7C
