"","Size (nt)","Category","Protein","No. Genes"
"361","232905","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"362","232905","DNA-binding and transcription regulators","Transposase",10
"363","232905","Lysis","Peptidase M23",2
"364","232905","Packaging and assembly","Adhesin",2
"365","232905","Replication and nucleic acid metabolism","DNA helicase",8
"366","232905","Replication and nucleic acid metabolism","DNA polymerase",6
"367","232905","Replication and nucleic acid metabolism","DNA topisomerase subunit",6
"368","232905","Replication and nucleic acid metabolism","HNH endonuclease",2
"369","232905","Replication and nucleic acid metabolism","Thymidylate kinase",2
"370","232905","Replication and nucleic acid metabolism","Thymidylate synthase",2
"371","232905","Structural proteins","Major capsid protein",2
"372","232905","Structural proteins","Tail sheath protein ",2
"373","232979","Lysis","LysC protein",3
"374","232979","Packaging and assembly","Terminase large subunit protein",3
"375","232979","Replication and nucleic acid metabolism","DNA helicase",9
"376","232979","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",3
"377","232979","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"378","232979","Replication and nucleic acid metabolism","Ribonuclease H",3
"379","232979","Replication and nucleic acid metabolism","Thymidylate synthase",3
"380","232979","Structural proteins","Major capsid protein",3
"381","232979","Structural proteins","Tail sheath protein ",3
"382","232979","Structural proteins","Virion structural protein",27
"383","234839","Auxilliary metabolic genes","Dihydrofolate reductase",2
"384","234839","DNA-binding and transcription regulators","AAA ATPase",2
"385","234839","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"386","234839","DNA-binding and transcription regulators","Transposase",6
"387","234839","Lysis","Peptidase M23",2
"388","234839","Packaging and assembly","Adhesin",2
"389","234839","Packaging and assembly","Terminase large subunit protein",2
"390","234839","Replication and nucleic acid metabolism","DNA helicase",8
"391","234839","Replication and nucleic acid metabolism","DNA polymerase",4
"392","234839","Replication and nucleic acid metabolism","DNA topisomerase subunit",12
"393","234839","Replication and nucleic acid metabolism","HNH endonuclease domain protein",2
"394","234839","Replication and nucleic acid metabolism","Thymidylate synthase",2
"395","234839","Structural proteins","Major capsid protein",2
"396","234839","Structural proteins","Portal protein",2
"397","234839","Structural proteins","Tail sheath protein ",2
"398","235074","Auxilliary metabolic genes","Dihydrofolate reductase",1
"399","235074","Packaging and assembly","Adhesin",1
"400","235074","Replication and nucleic acid metabolism","DNA helicase",3
"401","235074","Replication and nucleic acid metabolism","HNH endonuclease domain protein",1
"402","235074","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"403","235074","Replication and nucleic acid metabolism","Ribonuclease H",1
"404","235074","Replication and nucleic acid metabolism","Ribonucleotide reductase",1
"405","235074","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",2
"406","235074","Replication and nucleic acid metabolism","Thymidylate kinase",1
"407","235074","Replication and nucleic acid metabolism","Thymidylate synthase",1
"408","235074","Structural proteins","Major capsid protein",1
"409","235074","Structural proteins","Tail sheath protein ",1
"410","235074","Structural proteins","Virion structural protein",10
"411","235552","Lysis","LysC protein",2
"412","235552","Packaging and assembly","Terminase large subunit protein",2
"413","235552","Replication and nucleic acid metabolism","DNA helicase",6
"414","235552","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",2
"415","235552","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"416","235552","Replication and nucleic acid metabolism","Ribonuclease H",2
"417","235552","Replication and nucleic acid metabolism","Thymidylate synthase",2
"418","235552","Structural proteins","Major capsid protein",2
"419","235552","Structural proteins","Tail sheath protein ",2
"420","235552","Structural proteins","Virion structural protein",16
"421","235695","Auxilliary metabolic genes","Dihydrofolate reductase",2
"422","235695","DNA-binding and transcription regulators","AAA ATPase",4
"423","235695","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"424","235695","DNA-binding and transcription regulators","Transposase",8
"425","235695","Lysis","Peptidase M23",2
"426","235695","Packaging and assembly","Adhesin",2
"427","235695","Replication and nucleic acid metabolism","DNA helicase",12
"428","235695","Replication and nucleic acid metabolism","DNA polymerase",4
"429","235695","Replication and nucleic acid metabolism","Thymidylate kinase",2
"430","235695","Replication and nucleic acid metabolism","Thymidylate synthase",2
"431","235695","Structural proteins","Major capsid protein",2
"432","235695","Structural proteins","Portal protein",2
"433","235695","Structural proteins","Tail sheath protein ",2
"434","236619","Auxilliary metabolic genes","Dihydrofolate reductase",1
"435","236619","Packaging and assembly","Adhesin",1
"436","236619","Replication and nucleic acid metabolism","DNA helicase",3
"437","236619","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"438","236619","Replication and nucleic acid metabolism","Ribonuclease H",1
"439","236619","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"440","236619","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",2
"441","236619","Replication and nucleic acid metabolism","Thymidylate kinase",1
"442","236619","Replication and nucleic acid metabolism","Thymidylate synthase",1
"443","236619","Structural proteins","Major capsid protein",1
"444","236619","Structural proteins","Tail sheath protein ",1
"445","236619","Structural proteins","Virion structural protein",10
"446","237850","Lysis","LysC protein",1
"447","237850","Packaging and assembly","Terminase large subunit protein",1
"448","237850","Replication and nucleic acid metabolism","DNA helicase",3
"449","237850","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",1
"450","237850","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"451","237850","Replication and nucleic acid metabolism","Ribonuclease H",1
"452","237850","Replication and nucleic acid metabolism","Thymidylate synthase",1
"453","237850","Structural proteins","Major capsid protein",1
"454","237850","Structural proteins","Tail sheath protein ",1
"455","237850","Structural proteins","Virion structural protein",8
"456","239560","Lysis","LysC protein",3
"457","239560","Packaging and assembly","Terminase large subunit protein",3
"458","239560","Replication and nucleic acid metabolism","DNA helicase",9
"459","239560","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",3
"460","239560","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"461","239560","Replication and nucleic acid metabolism","Ribonuclease H",3
"462","239560","Replication and nucleic acid metabolism","Thymidylate synthase",3
"463","239560","Structural proteins","Major capsid protein",3
"464","239560","Structural proteins","Tail sheath protein ",3
"465","239560","Structural proteins","Virion structural protein",27
"466","239763","Auxilliary metabolic genes","Dihydrofolate reductase",1
"467","239763","Lysis","LysC protein",1
"468","239763","Packaging and assembly","Adhesin",1
"469","239763","Replication and nucleic acid metabolism","DNA helicase",3
"470","239763","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"471","239763","Replication and nucleic acid metabolism","Ribonuclease H",1
"472","239763","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"473","239763","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",1
"474","239763","Replication and nucleic acid metabolism","Thymidylate kinase",1
"475","239763","Replication and nucleic acid metabolism","Thymidylate synthase",1
"476","239763","Structural proteins","Major capsid protein",1
"477","239763","Structural proteins","Tail sheath protein ",1
"478","239763","Structural proteins","Virion structural protein",9
"479","240432","Auxilliary metabolic genes","Dihydrofolate reductase",1
"480","240432","Lysis","LysC protein",1
"481","240432","Packaging and assembly","Adhesin",1
"482","240432","Replication and nucleic acid metabolism","DNA helicase",3
"483","240432","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"484","240432","Replication and nucleic acid metabolism","Ribonuclease H",1
"485","240432","Replication and nucleic acid metabolism","Ribonucleotide reductase",1
"486","240432","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",1
"487","240432","Replication and nucleic acid metabolism","Thymidylate kinase",1
"488","240432","Replication and nucleic acid metabolism","Thymidylate synthase",1
"489","240432","Structural proteins","Major capsid protein",1
"490","240432","Structural proteins","Tail sheath protein ",1
"491","240432","Structural proteins","Virion structural protein",10
